STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WESD,WESF,WT01,WT03,WT04,WT05,WT06,WT11
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,2/6/12,.,.,0,0,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,2/20/12,14,0.6,.,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,2/21/12,.,.,0.06,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,2/29/12,.,.,0.24,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,3/3/12,.,.,0.45,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,3/8/12,.,.,0.63,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,3/18/12,.,.,0.44,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,3/19/12,.,.,0,0,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,3/24/12,2,0.12,.,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,3/25/12,.,.,0.1,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,3/26/12,.,.,0,0,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,3/30/12,.,.,0.42,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,3/31/12,.,.,0,0,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,4/1/12,.,.,0,0,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,4/4/12,.,.,0.04,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,4/5/12,.,.,0.87,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,4/14/12,.,.,0.28,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,4/15/12,.,.,1.38,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,4/16/12,.,.,0.41,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,4/17/12,.,.,0,0,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,4/21/12,.,.,0.25,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,4/28/12,.,.,0.09,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,4/29/12,.,.,0.46,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,4/30/12,.,.,0.26,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,5/1/12,.,.,0.09,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,5/2/12,.,.,1.21,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,5/4/12,.,.,0,0,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,5/5/12,.,.,0.57,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,5/6/12,.,.,0,0,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,5/7/12,.,.,0,0,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,5/8/12,.,.,0.01,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,5/21/12,.,.,0.07,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,5/29/12,.,.,0.02,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,6/1/12,.,.,0.65,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,6/3/12,.,.,0.02,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,6/5/12,.,.,0.08,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,6/12/12,.,.,0.1,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,6/17/12,.,.,0,0,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,7/3/12,.,.,0.35,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,7/9/12,.,.,0,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,7/18/12,.,.,0.08,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,8/3/12,.,.,1.03,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,8/5/12,.,.,0.05,.,.,.,.,.,.,.,.,,,,,
